TrainNumber,RailwayOperator,OriginStation,DestinationStation,DepartureTime,ArrivalTime,Duration,Status,TicketPrice,TrainType,PlatformNumber,Terminal,SeatCapacity,PassengerCount,WeatherCondition,CrewCount
TR0001,Deutsche Bahn,Cologne Hbf,Berlin Hbf,2023-08-08 03:11:00,2023-08-08 15:11:00,12:00:00,Delayed,433.48,Freight,P6,A,280,509,Clear,20
TR0002,Deutsche Bahn,Munich Hbf,Frankfurt Hbf,2023-03-04 16:49:00,2023-03-04 20:49:00,4:00:00,On Time,346.65,Intercity,P4,D,111,115,Clear,13
TR0003,Via Rail,Vancouver Pacific,Montreal Central,2023-06-08 21:52:00,2023-06-09 08:52:00,11:00:00,Delayed,423.4,Passenger,P8,E,300,53,Snow,17
TR0004,Deutsche Bahn,Cologne Hbf,Hamburg Hbf,2023-07-23 19:17:00,2023-07-24 07:17:00,12:00:00,Cancelled,477.01,Freight,P16,C,56,306,Storm,14
TR0005,Amtrak,Los Angeles Union,San Francisco 4th,2023-07-05 13:44:00,2023-07-05 18:44:00,5:00:00,On Time,157.05,Passenger,P2,C,114,55,Clear,12
TR0006,Via Rail,Toronto Union,Calgary Station,2023-02-19 18:02:00,2023-02-20 01:02:00,7:00:00,On Time,480.76,Passenger,P19,B,102,440,Storm,8
TR0007,Via Rail,Ottawa Station,Calgary Station,2023-03-09 02:17:00,2023-03-09 14:17:00,12:00:00,Delayed,234.2,Freight,P20,B,185,22,Storm,10
TR0008,JR Central,Osaka Station,Nagoya Station,2023-11-30 03:06:00,2023-11-30 04:06:00,1:00:00,Cancelled,498.45,Metro,P17,D,479,162,Rain,9
TR0009,Indian Railways,Mumbai CST,Howrah,2023-02-13 12:43:00,2023-02-13 14:43:00,2:00:00,On Time,407.53,High-Speed,P3,D,280,259,Rain,10
TR0010,JR Central,Tokyo Station,Nagoya Station,2023-12-10 22:32:00,2023-12-11 01:32:00,3:00:00,Cancelled,21.28,Freight,P20,B,254,544,Snow,15
TR0011,Deutsche Bahn,Munich Hbf,Hamburg Hbf,2023-01-09 20:29:00,2023-01-09 22:29:00,2:00:00,On Time,184.98,Passenger,P8,C,123,357,Storm,12
TR0012,Indian Railways,Chennai Central,Delhi Junction,2023-05-01 01:56:00,2023-05-01 11:56:00,10:00:00,Delayed,27.8,Passenger,P14,C,336,189,Storm,16
TR0013,Indian Railways,Bangalore City,Delhi Junction,2023-07-19 07:17:00,2023-07-19 12:17:00,5:00:00,On Time,335.26,Passenger,P9,A,293,296,Fog,3
TR0014,Indian Railways,Bangalore City,Mumbai CST,2023-05-26 11:29:00,2023-05-26 20:29:00,9:00:00,Delayed,318.74,Passenger,P9,A,89,511,Snow,4
TR0015,JR East,Kyoto Station,Hiroshima Station,2023-11-03 17:11:00,2023-11-03 18:11:00,1:00:00,Delayed,50.78,Metro,P12,E,62,131,Rain,16
TR0016,Deutsche Bahn,Frankfurt Hbf,Munich Hbf,2023-12-05 22:23:00,2023-12-06 09:23:00,11:00:00,Cancelled,361.61,Passenger,P9,C,342,322,Storm,13
TR0017,Indian Railways,Delhi Junction,Howrah,2023-12-23 03:07:00,2023-12-23 05:07:00,2:00:00,Delayed,356.24,Intercity,P11,A,362,226,Clear,4
TR0018,Deutsche Bahn,Cologne Hbf,Hamburg Hbf,2023-07-10 11:36:00,2023-07-10 22:36:00,11:00:00,On Time,185.08,High-Speed,P1,E,466,295,Snow,2
TR0019,Indian Railways,Mumbai CST,Delhi Junction,2023-09-02 18:20:00,2023-09-03 06:20:00,12:00:00,On Time,346.18,Intercity,P4,B,328,405,Storm,15
TR0020,Indian Railways,Bangalore City,Howrah,2023-04-27 20:01:00,2023-04-28 04:01:00,8:00:00,On Time,88.19,Passenger,P2,C,322,523,Rain,17
TR0021,Indian Railways,Bangalore City,Howrah,2023-09-27 22:43:00,2023-09-28 07:43:00,9:00:00,Delayed,357.77,Intercity,P5,A,367,285,Rain,12
