FlightNumber,Airline,Origin,Destination,DepartureTime,ArrivalTime,Duration,Status,Price,AircraftType,GateNumber,Terminal,SeatCapacity,PassengerCount,WeatherCondition,CrewCount,TransportType,VehicleID,ScheduledDeparture,ScheduledArrival,ActualDeparture,ActualArrival,DelayDuration,RouteCode
SW559,JetBlue,,MIA,2023-08-10 19:42:17,2023-08-11 02:30:17,0 days 06:48:00,On Time,815.62,Bombardier CRJ900,D9,4,117.0,61.0,Rain,15.0,Flight,SW559,2023-08-10 19:42:17,2023-08-11 02:30:17,2023-08-10 19:42:17,2023-08-11 02:30:17,0.0,_MIA
DL1868,JetBlue,MIA,DEN,2023-07-20 21:23:14,2023-07-21 03:53:14,0 days 06:30:00,On Time,478.02,Airbus A320,C1,2,332.0,51.0,Cloudy,8.0,Flight,DL1868,2023-07-20 21:23:14,2023-07-21 03:53:14,2023-07-20 21:23:14,2023-07-21 03:53:14,0.0,MIA_DEN
SW1439,Delta,SEA,ORD,2023-07-20 16:25:35,2023-07-20 23:54:35,0 days 07:29:00,Cancelled,418.99,Boeing 737,A2,3,382.0,283.0,Rain,10.0,Flight,SW1439,2023-07-20 16:25:35,2023-07-20 23:54:35,2023-07-20 16:25:35,2023-07-20 23:54:35,0.0,SEA_ORD
JB1829,United,DFW,ORD,2023-07-04 03:04:22,2023-07-04 12:11:22,0 days 09:07:00,On Time,553.12,Bombardier CRJ900,A23,2,285.0,73.0,Thunderstorm,,Flight,JB1829,2023-07-04 03:04:22,2023-07-04 12:11:22,2023-07-04 03:04:22,2023-07-04 12:11:22,0.0,DFW_ORD
SW888,Southwest,JFK,MIA,2023-10-29 08:50:56,2023-10-29 10:16:56,0 days 01:26:00,Delayed,821.05,Bombardier CRJ900,C27,1,357.0,318.0,Thunderstorm,15.0,Flight,SW888,2023-10-29 08:50:56,2023-10-29 10:16:56,2023-10-29 08:50:56,2023-10-29 10:46:56,30.0,JFK_MIA
SP3005,United,SFO,SEA,2023-12-16 22:14:55,2023-12-17 00:54:55,0 days 02:40:00,Cancelled,166.96,Embraer 190,C27,1,134.0,60.0,Rain,10.0,Flight,SP3005,2023-12-16 22:14:55,2023-12-17 00:54:55,2023-12-16 22:14:55,2023-12-17 00:54:55,0.0,SFO_SEA
DL8945,Alaska Airlines,BOS,ORD,2023-01-12 05:30:16,2023-01-12 11:32:16,0 days 06:02:00,Delayed,383.61,Boeing 777,A27,2,297.0,232.0,Snow,7.0,Flight,DL8945,2023-01-12 05:30:16,2023-01-12 11:32:16,2023-01-12 05:30:16,2023-01-12 12:02:16,30.0,BOS_ORD
AS1684,JetBlue,SFO,BOS,2023-04-07 07:09:33,2023-04-07 16:44:33,0 days 09:35:00,Delayed,1377.6,Boeing 737,B22,1,330.0,277.0,Thunderstorm,11.0,Flight,AS1684,2023-04-07 07:09:33,2023-04-07 16:44:33,2023-04-07 07:09:33,2023-04-07 17:14:33,30.0,SFO_BOS
AS1050,Alaska Airlines,SEA,BOS,2023-04-07 20:55:54,2023-04-08 02:17:54,0 days 05:22:00,On Time,1277.67,Boeing 737,A10,3,262.0,165.0,Thunderstorm,12.0,Flight,AS1050,2023-04-07 20:55:54,2023-04-08 02:17:54,2023-04-07 20:55:54,2023-04-08 02:17:54,0.0,SEA_BOS
DL2631,JetBlue,ORD,JFK,2023-07-23 18:31:08,2023-07-23 23:54:08,0 days 05:23:00,Cancelled,488.18,Boeing 777,D28,2,227.0,103.0,Clear,10.0,Flight,DL2631,2023-07-23 18:31:08,2023-07-23 23:54:08,2023-07-23 18:31:08,2023-07-23 23:54:08,0.0,ORD_JFK
