YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AS,98,N407AS,ANC,SEA,01-01-2015 00:05,01-01-2015 23:54,-11,21,01-01-2015 00:15,205,194,169,1448,01-01-2015 04:04,4,01-01-2015 04:30,01-01-2015 04:08,-22,0,0,,,,,,
2015,1,1,4,AA,2336,N3KUAA,LAX,PBI,01-01-2015 00:10,02-01-2015 00:02,-8,12,01-01-2015 00:14,280,279,263,2330,01-01-2015 07:37,4,01-01-2015 07:50,01-01-2015 07:41,-9,0,0,,,,,,
2015,1,1,4,US,840,N171US,SFO,CLT,01-01-2015 00:20,02-01-2015 00:18,-2,16,01-01-2015 00:34,286,293,266,2296,01-01-2015 08:00,11,01-01-2015 08:06,01-01-2015 08:11,5,0,0,,,,,,
2015,1,1,4,AA,258,N3HYAA,LAX,MIA,01-01-2015 00:20,02-01-2015 00:15,-5,15,01-01-2015 00:30,285,281,258,2342,01-01-2015 07:48,8,01-01-2015 08:05,01-01-2015 07:56,-9,0,0,,,,,,
2015,1,1,4,AS,135,N527AS,SEA,ANC,01-01-2015 00:25,02-01-2015 00:24,-1,11,01-01-2015 00:35,235,215,199,1448,01-01-2015 02:54,5,01-01-2015 03:20,01-01-2015 02:59,-21,0,0,,,,,,
2015,1,1,4,DL,806,N3730B,SFO,MSP,01-01-2015 00:25,02-01-2015 00:20,-5,18,01-01-2015 00:38,217,230,206,1589,01-01-2015 06:04,6,01-01-2015 06:02,01-01-2015 06:10,8,0,0,,,,,,
2015,1,1,4,NK,612,N635NK,LAS,MSP,01-01-2015 00:25,02-01-2015 00:19,-6,11,01-01-2015 00:30,181,170,154,1299,01-01-2015 05:04,5,01-01-2015 05:26,01-01-2015 05:09,-17,0,0,,,,,,
2015,1,1,4,US,2013,N584UW,LAX,CLT,01-01-2015 00:30,01-01-2015 00:44,14,13,01-01-2015 00:57,273,249,228,2125,01-01-2015 07:45,8,01-01-2015 08:03,01-01-2015 07:53,-10,0,0,,,,,,
2015,1,1,4,AA,1112,N3LAAA,SFO,DFW,01-01-2015 00:30,02-01-2015 00:19,-11,17,01-01-2015 00:36,195,193,173,1464,01-01-2015 05:29,3,01-01-2015 05:45,01-01-2015 05:32,-13,0,0,,,,,,
2015,1,1,4,DL,1173,N826DN,LAS,ATL,01-01-2015 00:30,01-01-2015 00:33,3,12,01-01-2015 00:45,221,203,186,1747,01-01-2015 06:51,5,01-01-2015 07:11,01-01-2015 06:56,-15,0,0,,,,,,
2015,1,1,4,DL,2336,N958DN,DEN,ATL,01-01-2015 00:30,02-01-2015 00:24,-6,12,01-01-2015 00:36,173,149,133,1199,01-01-2015 04:49,4,01-01-2015 05:23,01-01-2015 04:53,-30,0,0,,,,,,
2015,1,1,4,AA,1674,N853AA,LAS,MIA,01-01-2015 00:35,02-01-2015 00:27,-8,21,01-01-2015 00:48,268,266,238,2174,01-01-2015 07:46,7,01-01-2015 08:03,01-01-2015 07:53,-10,0,0,,,,,,
2015,1,1,4,DL,1434,N547US,LAX,MSP,01-01-2015 00:35,01-01-2015 00:35,0,18,01-01-2015 00:53,214,210,188,1535,01-01-2015 06:01,4,01-01-2015 06:09,01-01-2015 06:05,-4,0,0,,,,,,
2015,1,1,4,DL,2324,N3751B,SLC,ATL,01-01-2015 00:40,02-01-2015 00:34,-6,18,01-01-2015 00:52,215,199,176,1590,01-01-2015 05:48,5,01-01-2015 06:15,01-01-2015 05:53,-22,0,0,,,,,,
2015,1,1,4,DL,2440,N651DL,SEA,MSP,01-01-2015 00:40,02-01-2015 00:39,-1,28,01-01-2015 01:07,189,198,166,1399,01-01-2015 05:53,4,01-01-2015 05:49,01-01-2015 05:57,8,0,0,,,,,,
2015,1,1,4,AS,108,N309AS,ANC,SEA,01-01-2015 00:45,02-01-2015 00:41,-4,17,01-01-2015 00:58,204,194,173,1448,01-01-2015 04:51,4,01-01-2015 05:09,01-01-2015 04:55,-14,0,0,,,,,,
2015,1,1,4,DL,1560,N3743H,ANC,SEA,01-01-2015 00:45,02-01-2015 00:31,-14,25,01-01-2015 00:56,210,200,171,1448,01-01-2015 04:47,4,01-01-2015 05:15,01-01-2015 04:51,-24,0,0,,,,,,
2015,1,1,4,UA,1197,N78448,SFO,IAH,01-01-2015 00:48,02-01-2015 00:42,-6,11,01-01-2015 00:53,218,217,199,1635,01-01-2015 06:12,7,01-01-2015 06:26,01-01-2015 06:19,-7,0,0,,,,,,
2015,1,1,4,AS,122,N413AS,ANC,PDX,01-01-2015 00:50,02-01-2015 00:46,-4,11,01-01-2015 00:57,215,201,187,1542,01-01-2015 05:04,3,01-01-2015 05:25,01-01-2015 05:07,-18,0,0,,,,,,
2015,1,1,4,DL,1670,N806DN,PDX,MSP,01-01-2015 00:50,02-01-2015 00:45,-5,9,01-01-2015 00:54,193,186,171,1426,01-01-2015 05:45,6,01-01-2015 06:03,01-01-2015 05:51,-12,0,0,,,,,,
2015,1,1,4,NK,520,N525NK,LAS,MCI,01-01-2015 00:55,01-01-2015 01:20,25,11,01-01-2015 01:31,162,143,128,1139,01-01-2015 05:39,4,01-01-2015 05:37,01-01-2015 05:43,6,0,0,,,,,,
2015,1,1,4,AA,371,N3GXAA,SEA,MIA,01-01-2015 01:00,02-01-2015 00:52,-8,30,01-01-2015 01:22,338,347,311,2724,01-01-2015 09:33,6,01-01-2015 09:38,01-01-2015 09:39,1,0,0,,,,,,
2015,1,1,4,NK,214,N632NK,LAS,DFW,01-01-2015 01:03,02-01-2015 01:02,-1,13,01-01-2015 01:15,147,147,128,1055,01-01-2015 05:23,6,01-01-2015 05:30,01-01-2015 05:29,-1,0,0,,,,,,
2015,1,1,4,AA,115,N3CTAA,LAX,MIA,01-01-2015 01:05,02-01-2015 01:03,-2,14,01-01-2015 01:17,286,276,255,2342,01-01-2015 08:32,7,01-01-2015 08:51,01-01-2015 08:39,-12,0,0,,,,,,
2015,1,1,4,DL,1450,N671DN,LAS,MSP,01-01-2015 01:05,02-01-2015 01:02,-3,11,01-01-2015 01:13,183,163,150,1299,01-01-2015 05:43,2,01-01-2015 06:08,01-01-2015 05:45,-23,0,0,,,,,,
2015,1,1,4,UA,1545,N76517,LAX,IAH,01-01-2015 01:15,02-01-2015 01:12,-3,11,01-01-2015 01:23,183,175,156,1379,01-01-2015 05:59,8,01-01-2015 06:18,01-01-2015 06:07,-11,0,0,,,,,,
2015,1,1,4,AS,130,N457AS,FAI,SEA,01-01-2015 01:15,02-01-2015 01:07,-8,25,01-01-2015 01:32,213,218,186,1533,01-01-2015 05:38,7,01-01-2015 05:48,01-01-2015 05:45,-3,0,0,,,,,,
2015,1,1,4,NK,597,N528NK,MSP,FLL,01-01-2015 01:15,01-01-2015 01:27,12,14,01-01-2015 01:41,207,220,166,1487,01-01-2015 05:27,40,01-01-2015 05:42,01-01-2015 06:07,25,0,0,,25,0,0,0,0
2015,1,1,4,US,413,N571UW,LAS,CLT,01-01-2015 01:20,02-01-2015 01:10,-10,12,01-01-2015 01:22,245,224,205,1916,01-01-2015 07:47,7,01-01-2015 08:25,01-01-2015 07:54,-31,0,0,,,,,,
2015,1,1,4,AA,2392,N3HRAA,DEN,MIA,01-01-2015 01:20,01-01-2015 01:41,21,12,01-01-2015 01:53,227,208,188,1709,01-01-2015 07:01,8,01-01-2015 07:07,01-01-2015 07:09,2,0,0,,,,,,
2015,1,1,4,NK,168,N629NK,PHX,ORD,01-01-2015 01:25,01-01-2015 02:37,72,9,01-01-2015 02:46,204,175,156,1440,01-01-2015 06:22,10,01-01-2015 05:49,01-01-2015 06:32,43,0,0,,43,0,0,0,0
2015,1,1,4,AA,2211,N3CGAA,PHX,MIA,01-01-2015 01:27,02-01-2015 01:16,-11,10,02-01-2015 01:26,239,234,217,1972,01-01-2015 07:03,7,01-01-2015 07:26,01-01-2015 07:10,-16,0,0,,,,,,
2015,1,1,4,AS,136,N431AS,ANC,SEA,01-01-2015 01:35,,,,,205,,,1448,,,01-01-2015 06:00,,,0,1,A,,,,,
2015,1,1,4,DL,95,N320US,SLC,ATL,01-01-2015 01:40,02-01-2015 01:34,-6,43,01-01-2015 02:17,215,231,182,1590,01-01-2015 07:19,6,01-01-2015 07:15,01-01-2015 07:25,10,0,0,,,,,,
